"Location1","Location2","Distance"
"Daejeon, South Korea","Daejon, South Korea",1
"Gumi, South Korea","Guri, South Korea",1
"Gunsan, South Korea","Kunsan, South Korea",1
"Gwanak-gu, South Korea","Gwanak-Gu, South Korea",1
"Kanagawa, Japan","Kanazawa, Japan",1
"Montreal, Canada","Montréal, Canada",1
"Seoul South Korea","Seoul, South Korea",1
"Seoul, South Korea","Seul, South Korea",1
"Suwon Si, South Korea","Suwon-Si, South Korea",1
"Tainan, Taiwan","Taiwan, Taiwan",1
"Aichi, Japan","Kochi, Japan",2
"Ansan, South Korea","Anyang, South Korea",2
"Ansan, South Korea","Busan, South Korea",2
"Ansan, South Korea","Gunsan, South Korea",2
"Ansan, South Korea","Kunsan, South Korea",2
"Ansan, South Korea","Ulsan, South Korea",2
"Ansan-Si, Gyeonggi-Do, South Korea","Anyang-Si, Gyeonggi-Do, South Korea",2
"Ansan-Si, South Korea","Anyang-Si, South Korea",2
"Ansan-Si, South Korea","Gunsan-Si, South Korea",2
"Anyang, South Korea","Goyang, South Korea",2
"Anyang-Si, South Korea","Goyang-Si, South Korea",2
"Bron, France","Lyon, France",2
"Bucheon, South Korea","Incheon, South Korea",2
"Busan, South Korea","Gunsan, South Korea",2
"Busan, South Korea","Kunsan, South Korea",2
"Busan, South Korea","Ulsan, South Korea",2
"Carina, Australia","Taringa, Australia",2
"Dae-Gu, South Korea","Daegu, South Korea",2
"Daegu, South Korea","Deagu, South Korea",2
"Gangnam, South Korea","Gangnamgu, South Korea",2
"Goyang, South Korea","Goyangsi, South Korea",2
"Goyang, South Korea","Pohang, South Korea",2
"Goyang-Si, South Korea","Goyangsi, South Korea",2
"Goyang-Si, South Korea","Pohang-Si, South Korea",2
"Goyangsi, South Korea","Pohangsi, South Korea",2
"Hamburg, Germany","Marburg, Germany",2
"Jeonju, South Korea","Wonju, South Korea",2
"Kazo, Saitama, Japan","Wako, Saitama, Japan",2
"Md, USA","X, USA",2
"Montreal, Québec, Canada","Montréal, Quebec, Canada",2
"Oshawa, On, Canada","Ottawa, On, Canada",2
"Padua, Italy","Pavia, Italy",2
"Pohang, South Korea","Pohangsi, South Korea",2
"Pohang-Si, South Korea","Pohangsi, South Korea",2
"Sassari, Italy","Sassi, Italy",2
"Seoul South Korea","Seul, South Korea",2
"Sepang, Malaysia","Serdang, Malaysia",2
"Yongin, South Korea","Yonginsi, South Korea",2
"Yongin-Si, South Korea","Yonginsi, South Korea",2
"공주시, South Korea","용인시, South Korea",2
